Index,City,lon,lat
372,Nemours,"-81,5220666","30,1423595"
373,West Berlin,"13,404954","52,5200066"
374,Karlsruhe,"8,4036527","49,68901"
375,Stuttgart,"9,1829321","48,7758459"
376,Brive,"1,533937","45,159555"
377,Bayonne,"-74,1143091","40,6687141"
378,Saint-Julien-en-Genevois,"6,081338","46,144516"
379,Boulogne-Billancourt,"2,2399123","48,8396952"
380,Nanterre,"2,215331","48,892423"
381,Meudon,"2,23847","48,812995"
382,Levallois-Perret,"2,287864","48,893217"
383,Evreux,"1,151361","49,270129"
384,Villers-sur-Mer,"-0,005321","49,321744"
385,Saint-Hilaire-du-Harcou�t,"-1,092034","48,577086"
386,Superbagn�res,"0,576818","42,768789"
387,Cosne-sur-Loire,"2,9252801","47,3824086"
388,Vitre,"-1,21543","48,124746"
389,Morzine Avoriaz,"6,775103","46,18823"
390,Autrans,"5,542716","45,176098"
391,Luz-Saint-Sauveur,"-0,002869","42,873542"
392,Laruns,"-0,426274","42,987644"
393,Montreuil,"2,448451","48,863812"
394,Bondy,"2,481875","48,906008"
395,Bobigny,"2,439712","48,908612"
396,Louvroil,"3,959502","50,26374"
397,Valenciennes,"3,518332","50,357113"
398,B�thune,"2,63926","50,531036"
399,Cergy-Pontoise,"2,100645","49,50966"
400,Langon,"-0,245126","44,555419"
401,Domaine du Rouret,"4,2763828","44,3812849"
402,Les �chelles,"5,753686","45,436571"
403,Crans-Montana,"7,498439","46,3425654"
404,Villi�-Morgon,"4,679334","46,160931"
405,Pantin,"2,40963","48,894533"
406,Fontenay-sous-Bois,"2,475907","48,851542"
407,Nogent-sur-Marne,"2,481699","48,837631"
408,La Rochelle,"-1,151139","46,160329"
409,Fleurance,"0,6632439","43,849456"
410,Roquefort-sur-Soulzon,"2,992022","43,974566"
411,La Tour-du-Pin,"5,445327","45,564026"
412,Alfortville,"2,422317","48,80093"
413,Basel,"7,5885761","47,5595986"
414,Beauraing,"4,9554347","50,1102813"
415,Cancale,"-1,852279","48,67707"
416,Concarneau,"-3,920734","47,872834"
417,Saintes,"-0,633389","45,744175"
418,Valence d'Agen,"0,890241","44,108057"
419,Martigues,"5,053728","43,404811"
420,Manosque,"5,790916","43,835744"
421,Orci�res-Merlette,"6,320161","44,6952209"
422,Saint-Priest,"4,947071","45,698938"
423,Sens,"-122,3958876","37,7949305"
424,Nay,"-95,9279506","36,675192"
425,Rochefort,"-0,961697","45,936698"
426,Compi�gne,"2,826145","49,417816"
427,Beringen,"5,21862","51,4793"
428,Thonon-les-Bains,"6,477635","46,373565"
429,Veurey,"5,612813","45,272154"
430,Auxerre,"3,573781","47,798202"
431,Frankfurt,"8,6821267","50,1109221"
432,Wiesbaden,"8,2397608","50,782184"
433,Spa,"-95,9934026","36,1585288"
434,Flers,"-0,575794","48,750059"
435,Damazan,"0,276419","44,2905"
436,L�zignan-Corbi�res,"2,7577759","43,200503"
437,Trets,"5,6841549","43,446909"
438,Voreppe,"5,637517","45,298156"
439,Captieux,"-0,261723","44,291534"
440,Neuville-de-Poitou,"0,246918","46,685934"
441,Angers,"-0,5518257","47,4711616"
442,Deauville,"0,075122","49,353976"
443,Les Menuires,"6,5378609","45,3231688"
444,Alpe d'Huez,"6,0647688","45,909056"
445,Le Perreux-sur-Marne,"2,504038","48,841386"
446,Leiden,"4,4970097","52,1601144"
447,Sint Willebrord,"4,5897498","51,5517785"
448,Saint-Amand-les-Eaux,"3,428713","50,448979"
449,Caen,"-0,370679","49,182863"
450,Maz�-Montgeoffroy,"-0,276077","47,469126"
451,Saint-�milion,"-0,155729","44,894387"
452,Biarritz,"-1,558626","43,4831519"
453,Besse-en-Chandesse,"2,9012932","45,4978927"
454,Saint-Dier-d'Auvergne,"3,482832","45,6755629"
455,St-�tienne,"4,3871779","45,439695"
456,Epernay,"3,956242","49,43411"
457,Saint Germain en Laye,"2,093761","48,898908"
458,Auch,"-83,2906503","42,6404961"
459,Oloron-Sainte-Marie,"-0,605292","43,194413"
460,Vitoria-Gasteiz,"-2,6817918","42,8591656"
461,Morcenx,"-0,911249","44,33654"
462,Jaunay-Clan,"0,375076","46,683763"
463,"Altkirch ","7,243036","47,620391"
464,Chamonix,"6,869433","45,923697"
465,Rossignol Voiron,"5,606234","45,31925"
466,Saint-Trivier-sur-Moignans,"4,8978659","46,71955"
467,Saint-Jean-de-Monts,"-2,0617863","46,793464"
468,Leuven,"4,7005176","50,8798438"
469,Bastogne,"5,7152802","50,5062"
470,Valentigney,"6,837516","47,4614199"
471,Divonne-les-Bains,"6,13604","46,358168"
472,Montgen�vre,"6,722136","44,930787"
473,Le Barcar�s,"3,036565","42,78773"
474,Font-Romeu-Odeillo-Via,"2,0322172","42,5182933"
475,Saint-Lary-Soulan,"0,320251","42,815835"
476,Lacanau,"-1,075745","44,978459"
477,Sainte-Foy-la-Grande,"0,215006","44,841805"
